<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;D;20171019;0;192.2;40301270
SBER;D;20171020;0;192.97;28740370
SBER;D;20171023;0;192.34;26923870
SBER;D;20171024;0;192.5;28240990
SBER;D;20171025;0;192.04;32243310
SBER;D;20171026;0;192.75;25609480
SBER;D;20171027;0;196.05;46711220
SBER;D;20171030;0;195;31909280
SBER;D;20171031;0;193.8;25598610
SBER;D;20171101;0;194.05;40225200
SBER;D;20171102;0;193.85;33696650
SBER;D;20171103;0;193.8;30592540
SBER;D;20171107;0;205.96;134984670
SBER;D;20171108;0;209.09;88243500
SBER;D;20171109;0;220.05;116612700
SBER;D;20171110;0;217.7;143480020
SBER;D;20171113;0;216.61;50915300
SBER;D;20171114;0;221.4;45864370
SBER;D;20171115;0;225.95;72148490
SBER;D;20171116;0;227.5;85815540
SBER;D;20171117;0;225.65;37914400
SBER;D;20171120;0;224.6;18825310
SBER;D;20171121;0;231;77525730
SBER;D;20171122;0;230.25;45902740
SBER;D;20171123;0;225.56;41134020
SBER;D;20171124;0;228;44245160
SBER;D;20171127;0;226.76;23975080
SBER;D;20171128;0;230;39995960
SBER;D;20171129;0;228.2;34326960
SBER;D;20171130;0;224.35;46105250
SBER;D;20171201;0;221.5;39944560
SBER;D;20171204;0;224.6;45046220
SBER;D;20171205;0;223.91;27865110
SBER;D;20171206;0;223.75;23099150
SBER;D;20171207;0;219.81;38205450
SBER;D;20171208;0;220.89;28307760
SBER;D;20171211;0;227.69;34512300
SBER;D;20171212;0;227.9;39576840
SBER;D;20171213;0;221.8;61563290
SBER;D;20171214;0;229.9;55591560
SBER;D;20171215;0;226.53;42473440
SBER;D;20171218;0;227.4;24514050
SBER;D;20171219;0;224.1;34973820
SBER;D;20171220;0;226;34146960
SBER;D;20171221;0;223.6;34746200
SBER;D;20171222;0;221.44;21508710
SBER;D;20171225;0;223.3;11153030
SBER;D;20171226;0;223.57;12299330
SBER;D;20171227;0;226.98;30086500
SBER;D;20171228;0;224.2;24042990
SBER;D;20171229;0;225.2;18911170
SBER;D;20180103;0;231.9;34460110
SBER;D;20180104;0;238.8;53575900
SBER;D;20180105;0;238.6;31546930
SBER;D;20180109;0;240.4;53158280
SBER;D;20180110;0;237.76;39353510
SBER;D;20180111;0;239;43062100
SBER;D;20180112;0;237.75;30886330
SBER;D;20180115;0;238.85;25651360
SBER;D;20180116;0;239.64;25463890
SBER;D;20180117;0;239.82;30496560
SBER;D;20180118;0;245.5;64062190
SBER;D;20180119;0;242.45;38974940
SBER;D;20180122;0;243.99;25074510
SBER;D;20180123;0;244.4;43952320
SBER;D;20180124;0;247.53;31125880
SBER;D;20180125;0;250.64;54982290
SBER;D;20180126;0;247;35182810
SBER;D;20180129;0;250.48;49177160
SBER;D;20180130;0;257.8;65465450
SBER;D;20180131;0;264.5;63661880
SBER;D;20180201;0;263.2;73011770
SBER;D;20180202;0;257.32;64628360
SBER;D;20180205;0;255.64;45881050
SBER;D;20180206;0;258.94;85504830
SBER;D;20180207;0;257.58;53360650
SBER;D;20180208;0;253.19;37153970
SBER;D;20180209;0;250.11;81609160
SBER;D;20180212;0;255.05;41723850
SBER;D;20180213;0;258.3;43682560
SBER;D;20180214;0;262.03;60335860
SBER;D;20180215;0;264.58;60628960
SBER;D;20180216;0;266.99;51896060
SBER;D;20180219;0;266.85;24145990
SBER;D;20180220;0;267.22;24741410
SBER;D;20180221;0;279.2;70353730
SBER;D;20180222;0;277.49;50614960
SBER;D;20180226;0;279.97;67356050
SBER;D;20180227;0;278.21;39968470
SBER;D;20180228;0;272.4;52919980
SBER;D;20180301;0;275;38940750
